file,class,method,variable,usage
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\temp\dataformat\DataFormatter1.java,com.alibaba.easyexcel.test.temp.dataformat.DataFormatter1$ConstantStringFormat,ConstantStringFormat/1[java.lang.String],s,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\temp\dataformat\DataFormatter1.java,com.alibaba.easyexcel.test.temp.dataformat.DataFormatter1$ConstantStringFormat,"format/3[java.lang.Object,java.lang.StringBuffer,java.text.FieldPosition]",pos,0
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\temp\dataformat\DataFormatter1.java,com.alibaba.easyexcel.test.temp.dataformat.DataFormatter1$ConstantStringFormat,"format/3[java.lang.Object,java.lang.StringBuffer,java.text.FieldPosition]",obj,0
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\temp\dataformat\DataFormatter1.java,com.alibaba.easyexcel.test.temp.dataformat.DataFormatter1$ConstantStringFormat,"format/3[java.lang.Object,java.lang.StringBuffer,java.text.FieldPosition]",toAppendTo,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\LoopMergeProperty.java,com.alibaba.excel.metadata.property.LoopMergeProperty,setColumnExtend/1[int],columnExtend,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\LoopMergeProperty.java,com.alibaba.excel.metadata.property.LoopMergeProperty,build/1[com.alibaba.excel.annotation.write.style.ContentLoopMerge],contentLoopMerge,3
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\LoopMergeProperty.java,com.alibaba.excel.metadata.property.LoopMergeProperty,setEachRow/1[int],eachRow,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\LoopMergeProperty.java,com.alibaba.excel.metadata.property.LoopMergeProperty,"LoopMergeProperty/2[int,int]",eachRow,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\LoopMergeProperty.java,com.alibaba.excel.metadata.property.LoopMergeProperty,"LoopMergeProperty/2[int,int]",columnExtend,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\temp\write\TempWriteTest.java,com.alibaba.easyexcel.test.temp.write.TempWriteTest,tep/0,workbook,5
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\temp\write\TempWriteTest.java,com.alibaba.easyexcel.test.temp.write.TempWriteTest,tep/0,i,6
