file,class,method,variable,usage
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],indent,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],rotation,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],bottomBorderColor,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],quotePrefix,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],borderTop,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],borderLeft,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],horizontalAlignment,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],rightBorderColor,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],shrinkToFit,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],leftBorderColor,2
